property_id,propertyType,price,size,rooms,bathrooms,municipality,neighborhood,neighborhood_id,district,latitude,longitude,hasLift,exterior,status,distance,data_year
91958209,penthouse,120000.0,70.0,3,1,Hospitalet de Llobregat,La Florida,,La Florida - Les Planes,41.3698948,2.1117576,true,true,good,2228.0,2020
91958449,flat,630000.0,120.0,4,2,Sant Cugat del Vallès,,,Parc Central - Colomer,41.476247,2.0694091,true,true,good,2361.0,2020
91958935,flat,100000.0,65.0,2,1,Hospitalet de Llobregat,Les Planes,,La Florida - Les Planes,41.3671949,2.1069424,false,true,good,2388.0,2020
91959242,flat,142000.0,70.0,3,1,Sant Feliu de Llobregat,,,La Salut,41.3858614,2.0422635,true,true,renew,1325.0,2020
91960227,flat,155000.0,75.0,3,1,Sant Feliu de Llobregat,,,Centre,41.3822254,2.0384285,true,true,renew,3056.0,2020
91960518,flat,345000.0,63.0,2,1,Barcelona,Sant Antoni,Q720994,Eixample,41.3770878,2.1560676,true,true,good,3015.0,2020
91960576,chalet,328755.0,208.0,4,1,Viladecans,,,Barri Antic - Centre,41.3172132,2.0194544,,false,good,2759.0,2020
91962337,flat,166500.0,74.0,3,1,Hospitalet de Llobregat,Bellvitge,,Bellvitge,41.3488283,2.1072773,true,true,good,2249.0,2020
91962546,flat,136000.0,66.0,2,1,Cornellà de Llobregat,,,Sant Ildefons,41.3654606,2.0816973,true,true,good,2618.0,2020
91962832,flat,575000.0,132.0,4,2,Barcelona,Sants,Q2476184,Sants-Montjuïc,41.3845727,2.139328,true,false,good,3142.0,2020
91963465,flat,430000.0,108.0,4,2,Barcelona,La Maternitat i Sant Ramon,Q3297056,Les Corts,41.3795556,2.1275779,true,false,good,2552.0,2020
91963606,flat,235000.0,106.0,4,2,Molins de Rei,,,,41.399461,2.0343539,true,false,good,2945.0,2020
91963627,flat,495000.0,110.0,3,2,Sant Just Desvern,,,,41.3811523,2.0717729,true,true,good,3145.0,2020
91963674,flat,410000.0,101.0,4,2,Barcelona,La Maternitat i Sant Ramon,Q3297056,Les Corts,41.3779791,2.1254518,true,true,good,2413.0,2020
91964355,flat,246750.0,136.0,3,1,Sant Boi de Llobregat,,,Marianao,41.3560721,2.0240693,true,true,good,2374.0,2020
91964732,flat,255000.0,81.0,3,2,Hospitalet de Llobregat,Collblanc,,Collblanc,41.3785981,2.1227595,true,true,good,2539.0,2020
91965101,flat,225000.0,108.0,4,2,Molins de Rei,,,,41.4088914,2.0169981,true,true,good,3079.0,2020
91965314,flat,120000.0,50.0,2,1,Cornellà de Llobregat,,,Riera,41.3525335,2.0747828,false,true,good,1920.0,2020
