bathrooms,distance,district,exterior,hasLift,latitude,longitude,neighborhood,price,propertyType,rooms,size,status,avg_income_index,density_val,price_m2
2,1792.0,Sants-Montjuïc,true,true,41.3708319,2.142701,Hostafrancs,269000.0,flat,4,110.0,good,14976.5,395.0,2445.4545454545455
1,1938.0,Sants-Montjuïc,true,false,41.3738168,2.1373314,Sants,190000.0,flat,3,70.0,good,16581.137931034482,399.0,2714.285714285714
2,3144.0,Eixample,true,true,41.3831718,2.1457837,La Nova Esquerra de l'Eixample,595000.0,flat,4,85.0,good,19287.175,437.0,7000.0
1,3242.0,Sants-Montjuïc,true,true,41.374785,2.1626552,El Poble Sec - Parc de Montjuïc,449000.0,flat,2,112.0,good,12629.916666666666,88.0,4008.9285714285716
1,2371.0,Sants-Montjuïc,true,false,41.3766577,2.1425516,Hostafrancs,228000.0,duplex,3,77.0,good,14976.5,395.0,2961.038961038961
1,670.0,Sants-Montjuïc,true,true,41.3593475,2.1393335,La Marina del Port,183000.0,flat,3,78.0,good,12917.0,247.0,2346.153846153846
1,2073.0,Sants-Montjuïc,true,true,41.3754073,2.134408,Sants,219000.0,flat,3,68.0,good,16581.137931034482,399.0,3220.5882352941176
1,1246.0,Sants-Montjuïc,true,true,41.3675998,2.136245,La Bordeta,239000.0,flat,4,84.0,good,15354.0,342.0,2845.2380952380954
1,2664.0,Sants-Montjuïc,true,true,41.3791007,2.1438595,Hostafrancs,228000.0,flat,3,77.0,good,14976.5,395.0,2961.038961038961
2,2643.0,Les Corts,true,true,41.3805273,2.1292739,Les Corts,425000.0,flat,3,84.0,good,21757.4,331.0,5059.523809523809
2,2937.0,Eixample,true,true,41.3804802,2.1477486,La Nova Esquerra de l'Eixample,399000.0,flat,4,93.0,good,19287.175,437.0,4290.322580645161
2,1775.0,Sants-Montjuïc,true,true,41.3726682,2.1349204,Sants,359000.0,flat,4,126.0,good,16581.137931034482,399.0,2849.2063492063494
1,2925.0,Nou Barris,true,true,41.4334352,2.1759897,Porta,149000.0,flat,3,57.0,good,13302.166666666666,332.0,2614.035087719298
2,2184.0,Sarrià-Sant Gervasi,true,true,41.4118422,2.1044525,Vallvidrera - El Tibidabo i les Planes,440000.0,flat,2,86.0,good,20118.0,4.0,5116.279069767442
2,1712.0,Sants-Montjuïc,true,false,41.3719118,2.1362605,Sants,229000.0,flat,3,150.0,good,16581.137931034482,399.0,1526.6666666666667
1,3081.0,Eixample,false,true,41.3829026,2.1445866,La Nova Esquerra de l'Eixample,293700.0,flat,3,81.0,renew,19287.175,437.0,3625.925925925926
1,1868.0,Sants-Montjuïc,true,false,41.3721922,2.1411508,La Bordeta,225000.0,flat,3,70.0,good,15354.0,342.0,3214.285714285714
1,3245.0,Eixample,true,true,41.3848976,2.1427924,La Nova Esquerra de l'Eixample,293700.0,flat,3,81.0,good,19287.175,437.0,3625.925925925926
1,2621.0,Les Corts,true,false,41.3804237,2.131945,Les Corts,229400.0,flat,3,74.0,good,21757.4,331.0,3100.0
1,3187.0,Sants-Montjuïc,true,true,41.3749363,2.1616583,El Poble Sec - Parc de Montjuïc,250000.0,flat,2,53.0,good,12629.916666666666,88.0,4716.981132075472
1,2477.0,Sants-Montjuïc,true,true,41.3769144,2.144913,Hostafrancs,320000.0,flat,2,60.0,good,14976.5,395.0,5333.333333333333
2,1865.0,Sants-Montjuïc,true,true,41.3725413,2.1399165,Hostafrancs,280000.0,flat,4,91.0,good,14976.5,395.0,3076.923076923077
3,830.0,Sarrià-Sant Gervasi,true,true,41.3992434,2.1221067,Sarrià,630000.0,flat,4,150.0,renew,25727.3125,83.0,4200.0
1,1768.0,Sants-Montjuïc,true,true,41.3713829,2.1406179,La Bordeta,259000.0,flat,3,78.0,good,15354.0,342.0,3320.5128205128203
2,1257.0,Sants-Montjuïc,true,true,41.3670529,2.1385246,La Font de la Guatlla,300000.0,flat,3,93.0,good,15888.0,349.0,3225.8064516129034
1,2948.0,Eixample,false,false,41.3780046,2.1533309,La Nova Esquerra de l'Eixample,250000.0,flat,3,110.0,renew,19287.175,437.0,2272.7272727272725
1,750.0,Nou Barris,true,true,41.4306786,2.1633246,Can Peguera - El Turó de la Peira,190000.0,flat,4,82.0,good,10251.0,192.0,2317.0731707317073
1,1815.0,Sants-Montjuïc,false,true,41.3721302,2.1396757,Sants,255000.0,flat,3,83.0,good,16581.137931034482,399.0,3072.289156626506
1,2286.0,Sants-Montjuïc,true,true,41.3767772,2.1387746,Sants,255000.0,flat,2,83.0,renew,16581.137931034482,399.0,3072.289156626506
2,3009.0,Eixample,true,true,41.3816718,2.1463837,La Nova Esquerra de l'Eixample,595000.0,flat,4,94.0,good,19287.175,437.0,6329.787234042553
2,706.0,Eixample,false,true,41.3884917,2.1627386,L'Antiga Esquerra de l'Eixample,539000.0,flat,4,130.0,good,20516.80769230769,350.0,4146.153846153846
1,537.0,Sants-Montjuïc,true,true,41.3586983,2.1379688,La Marina del Port,189000.0,flat,3,65.0,good,12917.0,247.0,2907.6923076923076
1,3128.0,Sant Andreu,true,true,41.4289122,2.1947117,Sant Andreu,378000.0,penthouse,3,171.0,good,16364.25641025641,313.0,2210.5263157894738
1,657.0,Sants-Montjuïc,true,true,41.36222,2.1353015,La Marina del Port,325000.0,flat,3,110.0,good,12917.0,247.0,2954.5454545454545
2,2931.0,Sants-Montjuïc,true,true,41.3829925,2.1364918,Sants,379000.0,flat,3,86.0,good,16581.137931034482,399.0,4406.976744186047
1,901.0,Sants-Montjuïc,true,true,41.3593117,2.1423136,La Marina del Port,210000.0,flat,3,82.0,good,12917.0,247.0,2560.9756097560976
1,217.0,Gràcia,true,false,41.4187878,2.1417252,Vallcarca i els Penitents,265000.0,flat,3,65.0,good,19460.0,130.0,4076.923076923077
2,3100.0,Eixample,true,true,41.3824718,2.1466837,La Nova Esquerra de l'Eixample,595000.0,flat,4,94.0,good,19287.175,437.0,6329.787234042553
1,640.0,Sants-Montjuïc,true,true,41.3574067,2.1396629,La Marina del Port,200000.0,flat,3,71.0,good,12917.0,247.0,2816.9014084507044
5,2289.0,Sarrià-Sant Gervasi,false,true,41.415085,2.1063974,Vallvidrera - El Tibidabo i les Planes,1300000.0,flat,5,270.0,good,20118.0,4.0,4814.814814814815
1,435.0,Gràcia,true,true,41.4090922,2.1656378,El Camp d'En Grassot i Gràcia Nova,339000.0,flat,3,98.0,good,18791.16,545.0,3459.183673469388
1,1168.0,Sants-Montjuïc,true,true,41.3671406,2.1348482,La Bordeta,199000.0,penthouse,3,70.0,good,15354.0,342.0,2842.8571428571427
2,748.0,Sants-Montjuïc,true,true,41.362763,2.1362973,La Marina del Port,295000.0,flat,3,72.0,good,12917.0,247.0,4097.222222222223
1,953.0,Sants-Montjuïc,true,true,41.3638702,2.1385715,La Marina del Port,178000.0,flat,2,68.0,good,12917.0,247.0,2617.6470588235293
1,711.0,Sants-Montjuïc,true,true,41.3583418,2.1403182,La Marina del Port,192000.0,flat,3,84.0,good,12917.0,247.0,2285.714285714286
1,3172.0,Sants-Montjuïc,true,false,41.3720471,2.164199,El Poble Sec - Parc de Montjuïc,209000.0,flat,2,57.0,good,12629.916666666666,88.0,3666.6666666666665
1,2355.0,Ciutat Vella,true,false,41.3743973,2.1743405,El Raval,220000.0,flat,2,59.0,good,9474.380952380952,437.0,3728.813559322034
1,2884.0,Les Corts,false,true,41.3827861,2.131771,Les Corts,300000.0,flat,2,75.0,good,21757.4,331.0,4000.0
2,2269.0,Sants-Montjuïc,true,false,41.3764772,2.1394746,Sants,485000.0,flat,3,106.0,good,16581.137931034482,399.0,4575.471698113208
2,2255.0,Sants-Montjuïc,true,true,41.376962,2.1354717,Sants,375000.0,duplex,2,115.0,good,16581.137931034482,399.0,3260.8695652173915
1,2960.0,Eixample,true,true,41.3795601,2.1505319,La Nova Esquerra de l'Eixample,299000.0,flat,4,86.0,good,19287.175,437.0,3476.7441860465115
1,2460.0,Sants-Montjuïc,true,false,41.3789015,2.1343487,Sants,195000.0,flat,2,58.0,renew,16581.137931034482,399.0,3362.0689655172414
1,202.0,Sants-Montjuïc,true,true,41.3577742,2.1341152,La Marina del Port,179000.0,flat,3,70.0,good,12917.0,247.0,2557.1428571428573
2,2469.0,Sants-Montjuïc,true,true,41.3790552,2.1324261,Sants,490000.0,flat,4,111.0,good,16581.137931034482,399.0,4414.414414414415
1,464.0,Sarrià-Sant Gervasi,true,true,41.3985483,2.1236281,Sarrià,335000.0,flat,3,55.0,good,25727.3125,83.0,6090.909090909091
1,2565.0,Nou Barris,true,false,41.441252,2.1819125,La Prosperitat,138000.0,flat,3,57.0,good,12309.15,457.0,2421.0526315789475
2,2805.0,Eixample,true,true,41.3747807,2.1556685,Sant Antoni,445000.0,flat,5,142.0,good,16867.375,484.0,3133.8028169014083
2,3107.0,Eixample,true,true,41.3829319,2.1453837,La Nova Esquerra de l'Eixample,339000.0,flat,4,100.0,good,19287.175,437.0,3390.0
2,2731.0,Les Corts,true,true,41.3812556,2.1283779,La Maternitat i Sant Ramon,430000.0,flat,4,108.0,good,19557.266666666666,125.0,3981.4814814814813
1,3139.0,Sants-Montjuïc,true,true,41.3742464,2.161651,El Poble Sec - Parc de Montjuïc,250000.0,flat,2,61.0,good,12629.916666666666,88.0,4098.360655737705
2,2947.0,Eixample,true,true,41.3775614,2.1540584,Sant Antoni,445000.0,flat,5,142.0,good,16867.375,484.0,3133.8028169014083
1,3059.0,Eixample,true,true,41.3796601,2.1525319,La Nova Esquerra de l'Eixample,299000.0,flat,4,86.0,renew,19287.175,437.0,3476.7441860465115
1,2400.0,Sants-Montjuïc,false,false,41.376097,2.1450494,Hostafrancs,197000.0,flat,2,68.0,good,14976.5,395.0,2897.0588235294117
1,2831.0,Sants-Montjuïc,true,true,41.3750238,2.1557967,El Poble Sec - Parc de Montjuïc,289000.0,flat,3,93.0,good,12629.916666666666,88.0,3107.52688172043
2,2278.0,Sants-Montjuïc,true,true,41.3771899,2.1353327,Sants,375000.0,duplex,2,124.0,good,16581.137931034482,399.0,3024.1935483870966
1,3159.0,Sants-Montjuïc,false,true,41.3742188,2.1619907,El Poble Sec - Parc de Montjuïc,95000.0,flat,1,40.0,good,12629.916666666666,88.0,2375.0
1,833.0,Sants-Montjuïc,false,true,41.3634716,2.1367015,La Marina del Port,198000.0,flat,3,70.0,good,12917.0,247.0,2828.5714285714284
2,2490.0,Les Corts,true,true,41.3788556,2.1264779,La Maternitat i Sant Ramon,430000.0,flat,4,108.0,renew,19557.266666666666,125.0,3981.4814814814813
2,2216.0,Sarrià-Sant Gervasi,true,true,41.4132142,2.1052253,Vallvidrera - El Tibidabo i les Planes,310000.0,flat,3,80.0,good,20118.0,4.0,3875.0
1,3066.0,Eixample,false,true,41.3776004,2.1562332,Sant Antoni,315000.0,flat,3,81.0,good,16867.375,484.0,3888.8888888888887
2,2505.0,Les Corts,true,true,41.3791066,2.127391,La Maternitat i Sant Ramon,350000.0,flat,3,88.0,good,19557.266666666666,125.0,3977.2727272727275
1,1988.0,Sants-Montjuïc,true,true,41.3747044,2.1332047,Sants,250000.0,flat,3,60.0,good,16581.137931034482,399.0,4166.666666666667
1,3147.0,Eixample,true,true,41.3825825,2.1477183,La Nova Esquerra de l'Eixample,240000.0,flat,2,48.0,good,19287.175,437.0,5000.0
1,1802.0,Sants-Montjuïc,false,false,41.3730402,2.1309628,Sants,136500.0,flat,3,43.0,renew,16581.137931034482,399.0,3174.4186046511627
1,3019.0,Sants-Montjuïc,true,false,41.3714772,2.1625118,El Poble Sec - Parc de Montjuïc,300000.0,flat,1,74.0,good,12629.916666666666,88.0,4054.054054054054
2,2887.0,Eixample,false,true,41.3752833,2.1563908,Sant Antoni,408000.0,flat,3,104.0,good,16867.375,484.0,3923.076923076923
2,2674.0,Les Corts,true,true,41.3779416,2.1166221,La Maternitat i Sant Ramon,340000.0,flat,3,86.0,good,19557.266666666666,125.0,3953.4883720930234
1,2386.0,Sants-Montjuïc,true,false,41.3764585,2.1436334,Hostafrancs,275000.0,flat,2,75.0,renew,14976.5,395.0,3666.6666666666665
2,2809.0,Eixample,true,true,41.3786716,2.1489944,La Nova Esquerra de l'Eixample,370000.0,flat,4,102.0,good,19287.175,437.0,3627.450980392157
1,2936.0,Sants-Montjuïc,false,true,41.3730944,2.15977,El Poble Sec - Parc de Montjuïc,250000.0,flat,2,61.0,good,12629.916666666666,88.0,4098.360655737705
2,659.0,Eixample,true,true,41.3853572,2.1585799,L'Antiga Esquerra de l'Eixample,750000.0,flat,2,108.0,good,20516.80769230769,350.0,6944.444444444444
2,2532.0,Les Corts,true,true,41.3787706,2.1238044,La Maternitat i Sant Ramon,325000.0,flat,4,90.0,good,19557.266666666666,125.0,3611.1111111111113
2,3128.0,Eixample,true,true,41.3791128,2.1549369,Sant Antoni,345000.0,flat,1,88.0,good,16867.375,484.0,3920.4545454545455
2,3177.0,Sants-Montjuïc,true,true,41.3748771,2.1615652,El Poble Sec - Parc de Montjuïc,205000.0,flat,3,70.0,good,12629.916666666666,88.0,2928.5714285714284
1,688.0,Sants-Montjuïc,true,true,41.3588575,2.1398292,La Marina del Port,192000.0,flat,3,85.0,good,12917.0,247.0,2258.823529411765
1,3045.0,Eixample,false,true,41.3757217,2.1584738,Sant Antoni,280000.0,flat,1,67.0,good,16867.375,484.0,4179.104477611941
2,2593.0,Sants-Montjuïc,true,true,41.3801714,2.1319036,Sants,300000.0,flat,4,83.0,good,16581.137931034482,399.0,3614.4578313253014
2,890.0,Sants-Montjuïc,true,true,41.3592173,2.142214,La Marina del Port,210000.0,flat,4,114.0,good,12917.0,247.0,1842.1052631578948
1,937.0,Sants-Montjuïc,true,true,41.35787,2.14318,La Marina del Port,185000.0,flat,3,100.0,good,12917.0,247.0,1850.0
1,1975.0,Sants-Montjuïc,false,true,41.3724512,2.1433486,La Bordeta,260000.0,flat,3,70.0,good,15354.0,342.0,3714.285714285714
2,2458.0,Sants-Montjuïc,true,true,41.3788714,2.1294036,Sants,300000.0,flat,4,83.0,good,16581.137931034482,399.0,3614.4578313253014
2,2679.0,Les Corts,true,true,41.3761872,2.1128816,La Maternitat i Sant Ramon,298000.0,flat,3,90.0,good,19557.266666666666,125.0,3311.1111111111113
1,1646.0,Sants-Montjuïc,false,true,41.3711644,2.1370672,La Bordeta,182000.0,flat,3,60.0,good,15354.0,342.0,3033.3333333333335
1,2913.0,Sants-Montjuïc,false,false,41.3753574,2.1567348,El Poble Sec - Parc de Montjuïc,150000.0,flat,3,72.0,renew,12629.916666666666,88.0,2083.3333333333335
2,1637.0,Sants-Montjuïc,true,true,41.3711096,2.1369224,Sants,225000.0,flat,3,150.0,good,16581.137931034482,399.0,1500.0
1,1716.0,Sants-Montjuïc,true,true,41.3722284,2.1336971,Sants,280000.0,flat,2,76.0,good,16581.137931034482,399.0,3684.2105263157896
1,2046.0,Sants-Montjuïc,true,true,41.3734207,2.1426964,Hostafrancs,249000.0,flat,3,92.0,renew,14976.5,395.0,2706.521739130435
1,3154.0,Eixample,false,true,41.3811299,2.1515751,La Nova Esquerra de l'Eixample,399000.0,flat,3,98.0,good,19287.175,437.0,4071.4285714285716
1,2180.0,Les Corts,true,true,41.3759348,2.1260642,La Maternitat i Sant Ramon,197000.0,flat,2,48.0,good,19557.266666666666,125.0,4104.166666666667
1,2309.0,Sants-Montjuïc,false,true,41.3774271,2.1357313,Sants,235000.0,flat,2,44.0,good,16581.137931034482,399.0,5340.909090909091
1,1783.0,Sants-Montjuïc,true,true,41.3714117,2.1409769,La Bordeta,182000.0,flat,3,60.0,renew,15354.0,342.0,3033.3333333333335
2,2255.0,Sants-Montjuïc,true,true,41.376962,2.1354717,Sants,350000.0,duplex,2,105.0,good,16581.137931034482,399.0,3333.3333333333335
4,3244.0,Eixample,true,true,41.3813649,2.1531106,La Nova Esquerra de l'Eixample,595000.0,flat,4,146.0,good,19287.175,437.0,4075.3424657534247
1,595.0,Gràcia,true,false,41.4070711,2.1582665,Vila de Gràcia,210000.0,flat,3,52.0,good,17882.472222222223,385.0,4038.4615384615386
1,2324.0,Les Corts,true,true,41.3764342,2.1222985,La Maternitat i Sant Ramon,360000.0,penthouse,3,80.0,good,19557.266666666666,125.0,4500.0
1,2755.0,Eixample,true,true,41.3790451,2.1466932,La Nova Esquerra de l'Eixample,220000.0,flat,2,46.0,good,19287.175,437.0,4782.608695652174
2,2509.0,Les Corts,true,true,41.3780236,2.1216303,La Maternitat i Sant Ramon,430000.0,flat,3,110.0,good,19557.266666666666,125.0,3909.090909090909
1,3173.0,Sants-Montjuïc,true,false,41.3719471,2.164299,El Poble Sec - Parc de Montjuïc,209999.0,flat,3,56.0,good,12629.916666666666,88.0,3749.9821428571427
2,733.0,Gràcia,true,true,41.4051719,2.1627681,El Camp d'En Grassot i Gràcia Nova,445000.0,flat,4,123.0,renew,18791.16,545.0,3617.8861788617887
1,1737.0,Sants-Montjuïc,true,true,41.3707109,2.1416304,La Font de la Guatlla,289000.0,flat,2,77.0,good,15888.0,349.0,3753.246753246753
2,3167.0,Eixample,true,true,41.3740834,2.1622435,Sant Antoni,400000.0,flat,3,113.0,good,16867.375,484.0,3539.8230088495575
2,3134.0,Eixample,true,true,41.3735834,2.1622435,Sant Antoni,380000.0,flat,3,107.0,good,16867.375,484.0,3551.4018691588785
2,580.0,Sants-Montjuïc,true,true,41.3601783,2.1373765,La Marina del Port,445000.0,flat,4,117.0,good,12917.0,247.0,3803.4188034188032
1,3061.0,Sants-Montjuïc,true,true,41.3720944,2.16257,El Poble Sec - Parc de Montjuïc,250000.0,flat,2,61.0,good,12629.916666666666,88.0,4098.360655737705
1,2816.0,Sants-Montjuïc,true,true,41.37362,2.1573137,El Poble Sec - Parc de Montjuïc,271000.0,flat,3,63.0,good,12629.916666666666,88.0,4301.587301587301
1,1653.0,Sants-Montjuïc,true,false,41.3715531,2.1349356,Sants,269000.0,flat,2,60.0,good,16581.137931034482,399.0,4483.333333333333
1,3214.0,Sants-Montjuïc,false,false,41.3705646,2.1659362,El Poble Sec - Parc de Montjuïc,385000.0,flat,1,62.0,good,12629.916666666666,88.0,6209.677419354839
2,3186.0,Eixample,true,true,41.3795252,2.1553722,Sant Antoni,345000.0,flat,1,78.0,good,16867.375,484.0,4423.076923076923
1,3062.0,Sants-Montjuïc,true,true,41.3753889,2.1591664,El Poble Sec - Parc de Montjuïc,205000.0,flat,3,66.0,renew,12629.916666666666,88.0,3106.060606060606
